species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Setophaga graysoni,Setophaga graysoni,Passeriformes,NT,Yes,Volant,6.8,20.1,Forest,Carnivore,Invertivore,18.77,12,7.5,3,3.2,16.1,52.7,10.8,42.7,41.1,Not threatened
Setophaga kirtlandii,Setophaga kirtlandii,Passeriformes,NT,No,Volant,13.9,20.5,Forest,Carnivore,Invertivore,45.37,13.3,7.9,3.8,3.9,20.5,70,14.3,55.7,59.5,Not threatened
Setophaga magnolia,Setophaga magnolia,Passeriformes,LC,No,Volant,8.1,21.1,Forest,Carnivore,Invertivore,52.19,12.1,7.1,3.1,3.1,18.2,58.4,12.6,46.9,46.5,Not threatened
Setophaga nigrescens,Setophaga nigrescens,Passeriformes,LC,No,Volant,8.7,23.4,Forest,Carnivore,Invertivore,40.07,12.1,6.9,3.4,3.7,18.2,63.2,14.8,48.5,49,Not threatened
Setophaga occidentalis,Setophaga occidentalis,Passeriformes,LC,No,Volant,10.4,26.9,Forest,Carnivore,Invertivore,42.1,12.4,7.7,3.2,3.6,17.8,66.9,18,48.8,52.4,Not threatened
Setophaga palmarum,Setophaga palmarum,Passeriformes,LC,No,Volant,10.3,20.1,Forest,Carnivore,Invertivore,53.46,12.9,7.1,2.8,3.1,19.1,63.7,12.7,50.4,51,Not threatened
Setophaga pensylvanica,Setophaga pensylvanica,Passeriformes,LC,No,Volant,9.3,26.6,Forest,Carnivore,Invertivore,47.41,13.4,7.6,3.6,3.6,18.7,61.6,16.9,46.5,46.2,Not threatened
Setophaga petechia,Setophaga petechia,Passeriformes,LC,No,Volant,10.2,23.6,Shrubland,Carnivore,Invertivore,50.59,11.7,8,3.4,3.2,20,60.2,14.1,45.7,43.3,Not threatened
Setophaga pharetra,Setophaga pharetra,Passeriformes,LC,Yes,Volant,9.9,16.7,Forest,Carnivore,Invertivore,18.16,13.4,8.5,2.9,3.5,18,62.2,10.4,51.8,52.1,Not threatened
Setophaga pinus,Setophaga pinus,Passeriformes,LC,No,Volant,11.8,28.6,Forest,Carnivore,Invertivore,38.54,13.4,8,3.1,3.8,18.6,71.8,20.6,51.2,54,Not threatened
Setophaga pitiayumi,Setophaga pitiayumi,Passeriformes,LC,No,Volant,6.8,20.1,Forest,Carnivore,Invertivore,-12.53,12,7.5,3,3.2,16.1,52.7,10.8,42.7,41.1,Not threatened
Setophaga pityophila,Setophaga pityophila,Passeriformes,LC,Yes,Volant,8,24.2,Forest,Carnivore,Invertivore,23.21,12.6,7.6,2.8,3.1,16,58,14,44,53,Not threatened
Setophaga plumbea,Setophaga plumbea,Passeriformes,LC,Yes,Volant,10.1,19.5,Forest,Carnivore,Invertivore,15.95,13.6,8.2,3.4,3.5,20.3,61.3,11.9,48.9,57.6,Not threatened
Setophaga ruticilla,Setophaga ruticilla,Passeriformes,LC,No,Volant,8.2,24.6,Forest,Carnivore,Invertivore,47.72,12.3,6.8,4,3,17,62,15.6,48,52.6,Not threatened
Setophaga striata,Setophaga striata,Passeriformes,NT,No,Volant,11.8,31.3,Forest,Carnivore,Invertivore,58.99,13.9,8.7,3.6,3.4,19.5,74.3,23.2,51.1,50.4,Not threatened
Setophaga subita,Setophaga subita,Passeriformes,VU,Yes,Volant,7.6,13.3,Shrubland,Carnivore,Invertivore,17.63,12.5,7.9,3,2.8,17,50.6,6.8,43.9,48.1,Threatened
Setophaga tigrina,Setophaga tigrina,Passeriformes,LC,No,Volant,10,26.7,Forest,Omnivore,Invertivore,53.12,12.6,7.6,3.2,3.3,17.5,65.7,17.5,48.2,45.2,Not threatened
Setophaga townsendi,Setophaga townsendi,Passeriformes,LC,No,Volant,8.8,27.8,Forest,Carnivore,Invertivore,55.15,12.4,7.4,3,3.2,18.2,63.8,17.7,46.1,49.5,Not threatened
Setophaga virens,Setophaga virens,Passeriformes,LC,No,Volant,8.7,26.5,Forest,Omnivore,Invertivore,49.03,12.5,7.1,3.1,3.3,17.5,62.1,16.5,45.6,48.4,Not threatened
Setophaga vitellina,Setophaga vitellina,Passeriformes,NT,Yes,Volant,6.7,15.9,Woodland,Carnivore,Invertivore,19.4,13,8.1,2.7,3,18.3,56.6,9,47.6,51.7,Not threatened
Setornis criniger,Setornis criniger,Passeriformes,VU,No,Volant,29.5,17.9,Forest,Herbivore,Frugivore,0.3,23.9,16.3,5.3,6.5,19.9,95.6,17,77.8,79.6,Threatened
Sheppardia aequatorialis,Sheppardia aequatorialis,Passeriformes,LC,No,Volant,16.8,14.1,Forest,Carnivore,Invertivore,-0.69,12.9,7.1,3.7,3.7,20.9,67.2,9.4,57.8,50.2,Not threatened
Sheppardia aurantiithorax,Sheppardia aurantiithorax,Passeriformes,EN,No,Volant,18.4,14.2,Forest,Carnivore,Invertivore,-6.81,14.2,7.8,4.5,3.6,29,73.5,10.2,63.2,52.9,Threatened
Sheppardia bocagei,Sheppardia bocagei,Passeriformes,LC,No,Volant,18.3,15.3,Forest,Carnivore,Invertivore,-11.43,15.6,8.1,4,4,26.2,78.7,12,66.1,68.2,Not threatened
Sheppardia cyornithopsis,Sheppardia cyornithopsis,Passeriformes,LC,No,Volant,18.4,14.3,Forest,Carnivore,Invertivore,2.35,14.7,7.8,4.2,3.7,22.1,70.5,9.8,58.9,51.7,Not threatened
Sheppardia gabela,Sheppardia gabela,Passeriformes,EN,No,Volant,11,16,Forest,Carnivore,Invertivore,-11.13,12.6,7.1,4,3.3,20.9,65.5,10.5,55,52,Threatened
Sheppardia gunningi,Sheppardia gunningi,Passeriformes,NT,No,Volant,17.3,17.1,Forest,Carnivore,Invertivore,-9.72,14.2,7.8,3.9,3.7,22.5,67.1,11.3,55,50.7,Not threatened
Sheppardia lowei,Sheppardia lowei,Passeriformes,VU,No,Volant,18.4,12.2,Forest,Carnivore,Invertivore,-8.52,14.9,8.1,3.8,4,29.6,69.3,8.4,60.2,56.6,Threatened
Sheppardia montana,Sheppardia montana,Passeriformes,EN,No,Volant,21.8,13.4,Forest,Carnivore,Invertivore,-4.7,15.5,8,3.8,3.9,29.7,73.8,9.9,63.8,55,Threatened
Sheppardia poensis,Sheppardia poensis,Passeriformes,LC,No,Volant,18.3,15.3,Forest,Carnivore,Invertivore,2.07,15.6,8.1,4,4,25.8,69.3,12,66.1,47,Not threatened
Sheppardia polioptera,Sheppardia polioptera,Passeriformes,LC,No,Volant,18.7,14.5,Shrubland,Carnivore,Invertivore,1.93,16.8,8.8,4.6,4.1,24.5,78.8,11.5,67.3,62.9,Not threatened
Sheppardia sharpei,Sheppardia sharpei,Passeriformes,LC,No,Volant,14.7,18.9,Forest,Carnivore,Invertivore,-8.13,13.4,7.4,4,3.4,22.2,66,12.5,53.5,53,Not threatened
Sholicola albiventris,Sholicola albiventris,Passeriformes,VU,No,Volant,38.5,11.2,Riverine,Carnivore,Invertivore,9.86,16.7,9.2,3.8,3.8,27.6,75.2,8.6,67.4,63.7,Threatened
Sholicola major,Sholicola major,Passeriformes,EN,No,Volant,38.5,12.3,Forest,Carnivore,Invertivore,11.87,16.8,9.3,4.1,4.1,26.1,76.8,9.5,67.5,63.2,Threatened
Sialia currucoides,Sialia currucoides,Passeriformes,LC,No,Volant,29.6,36.6,Grassland,Omnivore,Invertivore,49.97,16.4,9.6,3.9,3.9,21.9,114,41,71.2,70,Not threatened
Sialia mexicana,Sialia mexicana,Passeriformes,LC,No,Volant,26.4,37.2,Woodland,Omnivore,Omnivore,36.28,15.1,8.6,3.4,3.9,19.8,104.4,39.2,66.2,64.2,Not threatened
Sialia sialis,Sialia sialis,Passeriformes,LC,No,Volant,27.5,32.8,Woodland,Carnivore,Invertivore,38.51,15.4,9.1,4.2,4.5,19.7,95.8,31.4,64.4,62.5,Not threatened
Sibia morrisoniana,Sibia morrisoniana,Passeriformes,LC,No,Volant,24,14.1,Forest,Carnivore,Invertivore,23.8,17.1,9.1,3.7,4.3,27.7,81,11.4,69.6,80.4,Not threatened
Sibia nipalensis,Sibia nipalensis,Passeriformes,LC,No,Volant,43.9,16.6,Forest,Omnivore,Invertivore,28.03,20.8,10.2,4.1,5,30.6,87.4,14.6,73.2,81,Not threatened
Sibia souliei,Sibia souliei,Passeriformes,LC,No,Volant,39.3,13.1,Forest,Carnivore,Invertivore,26.02,21,11.1,4.5,5.7,32.9,94.2,12.3,82,88.5,Not threatened
Sibia waldeni,Sibia waldeni,Passeriformes,LC,No,Volant,46.7,13.1,Forest,Omnivore,Omnivore,25.78,21,10.4,4.1,5,32.2,90.5,11.9,78.8,84.6,Not threatened
Sibirionetta formosa,Sibirionetta formosa,Anseriformes,LC,No,Volant,434,57,Wetland,Herbivore,Herbivore aquatic,64.58,37.9,28.8,14.7,13,32.1,206,116.3,87.7,77.2,Not threatened
Sicalis auriventris,Sicalis auriventris,Passeriformes,LC,No,Volant,55,29.7,Shrubland,Herbivore,Granivore,-30.18,13.6,9.5,5,6.7,18.5,87.3,25.6,60.3,54,Not threatened
Sicalis citrina,Sicalis citrina,Passeriformes,LC,No,Volant,11.6,20.9,Grassland,Omnivore,Granivore,-12.34,9.8,6.5,3.8,5.1,14.9,59.6,12.2,46.3,43.2,Not threatened
Sicalis columbiana,Sicalis columbiana,Passeriformes,LC,No,Volant,13.4,15.3,Shrubland,Herbivore,Granivore,-5.92,13.1,9,4.8,6.2,16.3,58.2,8.9,49.3,37.5,Not threatened
Sicalis flaveola,Sicalis flaveola,Passeriformes,LC,No,Volant,16.9,20.6,Shrubland,Herbivore,Granivore,-17.3,11.2,8.3,5.4,7,19.5,69.5,14.5,55.8,53.4,Not threatened
Sicalis lebruni,Sicalis lebruni,Passeriformes,LC,No,Volant,25.3,31.5,Grassland,Omnivore,Granivore,-45.95,12.7,8,4.2,6.7,16.6,82.5,26,56.6,54.5,Not threatened
Sicalis lutea,Sicalis lutea,Passeriformes,LC,No,Volant,16.3,24.7,Grassland,Herbivore,Granivore,-18.67,14.5,8.4,5,7.4,17.9,81.4,20.1,61.3,50.2,Not threatened
Sicalis luteocephala,Sicalis luteocephala,Passeriformes,LC,No,Volant,16.3,18.9,Shrubland,Herbivore,Granivore,-19.41,13.9,8.3,4.6,7,19,76.8,14.5,62.2,55.5,Not threatened
Sicalis luteola,Sicalis luteola,Passeriformes,LC,No,Volant,15.9,21.1,Grassland,Herbivore,Granivore,-23.92,9.3,7,4.6,6.2,14.7,67,14.1,52.7,45.4,Not threatened
Sicalis mendozae,Sicalis mendozae,Passeriformes,LC,No,Volant,18.1,23.3,Shrubland,Herbivore,Granivore,-31.2,13.6,9.4,5.6,7,19.9,78.1,18.3,59.9,53.6,Not threatened
Sicalis olivascens,Sicalis olivascens,Passeriformes,LC,No,Volant,21.8,23.3,Shrubland,Herbivore,Granivore,-20.1,13.6,9.4,5.6,7,19.9,78.1,18.3,59.9,53.6,Not threatened
Sicalis raimondii,Sicalis raimondii,Passeriformes,LC,No,Volant,15.8,29.7,Rock,Herbivore,Granivore,-12.58,12.8,8.5,6.3,7.9,17.2,71.8,21.3,50.5,45.3,Not threatened
Sicalis taczanowskii,Sicalis taczanowskii,Passeriformes,LC,No,Volant,8,23.1,Shrubland,Herbivore,Granivore,-5.48,13.8,9.3,6.3,10.1,18.5,69.9,16.1,53.7,44,Not threatened
Sicalis uropigyalis,Sicalis uropigyalis,Passeriformes,LC,No,Volant,22.5,30,Grassland,Herbivore,Granivore,-18.2,12.2,7.4,5.1,5.7,17.8,84.4,25.2,58.8,51.8,Not threatened
Silvicultrix diadema,Silvicultrix diadema,Passeriformes,LC,No,Volant,11.5,17.3,Forest,Carnivore,Invertivore,4.09,12.7,6.8,4.1,3.5,19.3,63,11,52.4,55.1,Not threatened
Silvicultrix frontalis,Silvicultrix frontalis,Passeriformes,LC,No,Volant,10,14.7,Forest,Carnivore,Invertivore,-5.94,12.1,6.3,3.5,3.3,21,65.2,9.5,55.5,57.5,Not threatened
Silvicultrix jelskii,Silvicultrix jelskii,Passeriformes,LC,No,Volant,11.6,13.8,Forest,Carnivore,Invertivore,-7.51,12.8,6.7,3.8,3,21.2,65.8,9,56.7,58.5,Not threatened
Silvicultrix pulchella,Silvicultrix pulchella,Passeriformes,LC,No,Volant,12,16.7,Forest,Carnivore,Invertivore,-12.95,14.2,6.5,4,3.4,19.7,64.6,10.8,53.9,57.5,Not threatened
Siphonorhis americana,Siphonorhis americana,Caprimulgiformes,CR,Yes,Volant,37,26.7,Forest,Carnivore,Invertivore,18.13,17.6,8.8,8.2,4.2,21.1,135,36,99,132,Threatened
Siphonorhis brewsteri,Siphonorhis brewsteri,Caprimulgiformes,NT,Yes,Volant,37,36.1,Woodland,Carnivore,Invertivore,19.01,14.7,6.5,8.3,3.6,23.8,113.5,41,72.5,100.5,Not threatened
Sipia berlepschi,Sipia berlepschi,Passeriformes,LC,No,Volant,25.6,8.2,Forest,Carnivore,Invertivore,3.42,21.5,12.6,5.1,5.5,25.6,64.3,5.2,58.4,43.9,Not threatened
Sipia laemosticta,Sipia laemosticta,Passeriformes,LC,No,Volant,25,8.4,Forest,Carnivore,Invertivore,8.91,18.4,10.9,4.3,4.5,26,61.3,5.2,56.1,44.2,Not threatened
Sipia nigricauda,Sipia nigricauda,Passeriformes,LC,No,Volant,24,8.9,Forest,Carnivore,Invertivore,1.72,19.1,11.7,4.9,5,28.2,64,5.8,59,52.3,Not threatened
Sipia palliata,Sipia palliata,Passeriformes,NT,No,Volant,25,10.3,Forest,Carnivore,Invertivore,7.47,20.4,11.6,4.6,4.7,26.7,66.7,7,59.8,45.7,Not threatened
Sipodotus wallacii,Sipodotus wallacii,Passeriformes,LC,No,Volant,7.7,10.8,Forest,Carnivore,Invertivore,-5.08,17,9.5,3.7,2.9,19.5,49,5.2,43.2,50,Not threatened
Siptornis striaticollis,Siptornis striaticollis,Passeriformes,LC,No,Volant,13,22.8,Forest,Carnivore,Invertivore,-1.74,11.8,7.4,2.6,3,16.5,62.4,14.1,48.3,50.6,Not threatened
Sirystes albocinereus,Sirystes albocinereus,Passeriformes,LC,No,Volant,38,17.8,Forest,Carnivore,Invertivore,-7.14,24.8,13.2,8.4,6.6,19.8,99.8,18,82.7,83.5,Not threatened
Sirystes albogriseus,Sirystes albogriseus,Passeriformes,LC,No,Volant,34,19.9,Forest,Carnivore,Invertivore,4.78,20,12.4,7.7,5.3,18.4,99.5,19.8,79.8,85.5,Not threatened
Sirystes sibilator,Sirystes sibilator,Passeriformes,LC,No,Volant,32.3,19.8,Forest,Carnivore,Invertivore,-14.02,22.2,13.8,8.2,6.4,18.8,93.9,18.6,75.2,81.2,Not threatened
Sirystes subcanescens,Sirystes subcanescens,Passeriformes,LC,No,Volant,34,23,Forest,Carnivore,Invertivore,1.52,24,14.8,8.7,6.2,20.4,99,22.8,76.2,84,Not threatened
Sitta arctica,Sitta arctica,Passeriformes,LC,No,Volant,21.2,22.7,Forest,Carnivore,Invertivore,64.29,20.3,12.7,3.8,4.2,18.7,84.8,19.3,65.6,48.1,Not threatened
Sitta azurea,Sitta azurea,Passeriformes,LC,No,Volant,16.3,25.2,Forest,Carnivore,Invertivore,-2.19,14.9,9.5,3.6,3.4,17.1,77.1,19.4,57.7,42.2,Not threatened
Sitta canadensis,Sitta canadensis,Passeriformes,LC,No,Volant,9.8,26.2,Forest,Omnivore,Omnivore,49.37,14,10.4,3.3,3.2,14.5,66.4,17.3,48.9,35.6,Not threatened
Sitta carolinensis,Sitta carolinensis,Passeriformes,LC,No,Volant,21,31.2,Forest,Omnivore,Omnivore,43.04,19.1,12.2,4,4.2,18.5,88.6,27.6,60.9,48.8,Not threatened
Sitta cashmirensis,Sitta cashmirensis,Passeriformes,LC,No,Volant,19,21.9,Forest,Carnivore,Invertivore,33.63,19.4,12.6,4.1,3.7,18.1,82.4,18,64.2,45.2,Not threatened
Sitta castanea,Sitta castanea,Passeriformes,LC,No,Volant,19.6,22.5,Forest,Carnivore,Invertivore,23.62,18.4,12.7,3.5,3.4,18.5,74.2,16.7,57.5,38.1,Not threatened
Sitta cinnamoventris,Sitta cinnamoventris,Passeriformes,LC,No,Volant,19.6,25.1,Forest,Carnivore,Invertivore,24.96,19.7,13,4.3,4.2,18.6,80.6,20.2,60.4,43.6,Not threatened
Sitta europaea,Sitta europaea,Passeriformes,LC,No,Volant,20.4,23.8,Forest,Carnivore,Invertivore,52.64,20.9,13.6,4.8,4.6,20.2,85.4,20.3,65,46.8,Not threatened
Sitta formosa,Sitta formosa,Passeriformes,VU,No,Volant,21,26.2,Forest,Carnivore,Invertivore,24.44,22,14.2,4.8,5,21.2,104,27,76.2,58.3,Threatened
Sitta frontalis,Sitta frontalis,Passeriformes,LC,No,Volant,16.5,23,Forest,Carnivore,Invertivore,14.99,14.3,9.2,3.6,3.4,16,72.7,16.7,55.7,38,Not threatened
Sitta himalayensis,Sitta himalayensis,Passeriformes,LC,No,Volant,14.3,20.4,Forest,Carnivore,Invertivore,27.45,15.6,9.6,4,3.5,17.5,72.2,14.7,57.1,38.4,Not threatened
Sitta insularis,Sitta insularis,Passeriformes,CR,Yes,Volant,10.2,23.3,Forest,Omnivore,Invertivore,26.62,15.3,10.4,3.3,3.9,14.8,65,15.1,49.9,35.4,Threatened
Sitta krueperi,Sitta krueperi,Passeriformes,LC,No,Volant,12.4,23.3,Forest,Omnivore,Omnivore,39.63,17.3,12.4,4,3.7,17,71.2,16.4,53.9,43,Not threatened
Sitta ledanti,Sitta ledanti,Passeriformes,EN,No,Volant,17.2,23.8,Forest,Omnivore,Omnivore,36.6,20.6,13.2,3.7,3.8,19.2,85.4,20.3,65,46.8,Threatened
Sitta leucopsis,Sitta leucopsis,Passeriformes,LC,No,Volant,14.8,25.6,Forest,Carnivore,Invertivore,33.49,19.1,13.4,4.3,3.2,17.6,77.1,19.6,56.8,43.6,Not threatened
Sitta magna,Sitta magna,Passeriformes,EN,No,Volant,41.1,32.9,Woodland,Omnivore,Invertivore,23.46,29.2,19,5.4,5.4,21.9,115.9,38.1,77.7,65.2,Threatened
Sitta nagaensis,Sitta nagaensis,Passeriformes,LC,No,Volant,14.7,23.4,Forest,Carnivore,Invertivore,25.52,17.3,10.6,3.7,3.5,17,79.3,18.4,60.2,45.2,Not threatened
Sitta neglecta,Sitta neglecta,Passeriformes,LC,No,Volant,19.6,25.1,Forest,Carnivore,Invertivore,19.42,18.1,12.8,4,3.8,18,80,20.1,59.9,43.9,Not threatened
Sitta neumayer,Sitta neumayer,Passeriformes,LC,No,Volant,26.5,14.9,Rock,Omnivore,Invertivore,38.6,22.7,15.9,4.5,5,23,80.2,12,68.4,49.3,Not threatened
Sitta oenochlamys,Sitta oenochlamys,Passeriformes,LC,Yes,Volant,16.4,18.9,Forest,Carnivore,Invertivore,11.84,15.9,10.3,3.6,3.6,16.2,72.9,13.7,58.5,41.9,Not threatened
Sitta przewalskii,Sitta przewalskii,Passeriformes,LC,No,Volant,14.8,25.9,Forest,Carnivore,Invertivore,33.77,15.3,10.7,3.9,2.9,17.2,72.2,18.7,53.5,42.2,Not threatened
Sitta pusilla,Sitta pusilla,Passeriformes,LC,No,Volant,10.2,23.3,Forest,Omnivore,Invertivore,32.71,15.3,10.4,3.3,3.9,14.8,65,15.1,49.9,35.4,Not threatened
Sitta pygmaea,Sitta pygmaea,Passeriformes,LC,No,Volant,10.6,18,Forest,Omnivore,Invertivore,37.62,14.1,9.7,3.2,3.7,16.8,66.4,11.9,54.4,38.3,Not threatened
Sitta solangiae,Sitta solangiae,Passeriformes,NT,No,Volant,15,28,Forest,Carnivore,Invertivore,15.87,15,9.5,3.6,4,18.4,78.1,21.8,56.3,39.8,Not threatened
Sitta tephronota,Sitta tephronota,Passeriformes,LC,No,Volant,35.2,16.4,Rock,Omnivore,Invertivore,35.77,23.8,16.1,5,5,24.2,84.9,13.8,70.1,56.9,Not threatened
Sitta victoriae,Sitta victoriae,Passeriformes,EN,No,Volant,14.3,17.4,Forest,Carnivore,Invertivore,21.3,13.8,8.8,3,2.9,16.7,70,12.2,57.8,39,Threatened
Sitta villosa,Sitta villosa,Passeriformes,LC,No,Volant,9.4,22.1,Forest,Omnivore,Omnivore,38.94,15.3,10.7,3.2,3.2,14.8,65,14.2,50.2,36.5,Not threatened
Sitta whiteheadi,Sitta whiteheadi,Passeriformes,VU,Yes,Volant,11.8,22.3,Forest,Omnivore,Omnivore,42.2,16.7,11.8,3.4,3.6,17.2,70.7,15.7,54.7,43.1,Threatened
Sitta yunnanensis,Sitta yunnanensis,Passeriformes,NT,No,Volant,9.9,23.5,Woodland,Carnivore,Invertivore,26.57,15.6,11.2,3,3.4,15.2,72,16.9,54.9,41.7,Not threatened
Sittasomus griseicapillus,Sittasomus griseicapillus,Passeriformes,LC,No,Volant,13.1,22,Forest,Carnivore,Invertivore,-11.01,16.1,10.9,4,3.7,17.2,76.7,16.9,59.9,76.5,Not threatened
Sittasomus griseus,Sittasomus griseus,Passeriformes,LC,No,Volant,13.1,22.5,Forest,Carnivore,Invertivore,12.21,18.4,10.4,3.9,3.4,17.2,77.7,17.5,59.9,84.6,Not threatened
Sittiparus castaneoventris,Sittiparus castaneoventris,Passeriformes,LC,No,Volant,17,19.7,Forest,Carnivore,Invertivore,23.75,12.2,8.7,4.5,4.8,18.5,73.8,14.5,59.2,51.3,Not threatened
Sittiparus olivaceus,Sittiparus olivaceus,Passeriformes,LC,Yes,Volant,17,19.7,Forest,Carnivore,Invertivore,24.33,12.2,8.7,4.5,4.8,18.5,73.8,14.5,59.2,51.3,Not threatened
Sittiparus owstoni,Sittiparus owstoni,Passeriformes,EN,Yes,Volant,17,19.7,Forest,Carnivore,Invertivore,33.59,12.2,8.7,4.5,4.8,18.5,73.8,14.5,59.2,51.3,Threatened
Sittiparus semilarvatus,Sittiparus semilarvatus,Passeriformes,NT,Yes,Volant,18,21.2,Forest,Carnivore,Invertivore,11.96,11.9,8.8,3.9,4.5,15.8,74.2,15.7,58.5,49.5,Not threatened
Sittiparus varius,Sittiparus varius,Passeriformes,LC,No,Volant,17,19.7,Forest,Carnivore,Invertivore,38.47,12.2,8.7,4.5,4.8,18.5,73.8,14.5,59.2,51.3,Not threatened
Siva cyanouroptera,Siva cyanouroptera,Passeriformes,LC,No,Volant,17,9.9,Forest,Omnivore,Invertivore,23.25,14.7,7.4,3.2,3.9,21.9,65.3,6.6,59.5,69.7,Not threatened
Smicrornis brevirostris,Smicrornis brevirostris,Passeriformes,LC,No,Volant,5.3,16.6,Woodland,Carnivore,Invertivore,-25.7,8,4,2.4,2.8,15.7,49.6,8.4,42.1,34,Not threatened
Smithornis capensis,Smithornis capensis,Passeriformes,LC,No,Volant,23.2,16.9,Forest,Carnivore,Invertivore,-8.09,16.2,10.4,9.8,5.8,16.1,70.1,11.8,57.7,51.2,Not threatened
Smithornis rufolateralis,Smithornis rufolateralis,Passeriformes,LC,No,Volant,19,13.4,Forest,Carnivore,Invertivore,2.08,14.1,9.6,9.8,5.8,15.6,61.1,7.9,51.2,39.7,Not threatened
Smithornis sharpei,Smithornis sharpei,Passeriformes,LC,No,Volant,37.5,15.3,Forest,Carnivore,Invertivore,0.67,17.8,11.5,11.4,7.1,17.5,79.8,12.2,67.7,51,Not threatened
Smutsornis africanus,Smutsornis africanus,Charadriiformes,LC,No,Volant,87.5,43.7,Desert,Carnivore,Invertivore,-16.64,16.2,8.9,3.1,3.8,52.9,147.8,64.2,82.8,64.2,Not threatened
Snowornis cryptolophus,Snowornis cryptolophus,Passeriformes,LC,No,Volant,73.6,21.1,Forest,Omnivore,Omnivore,-4.16,24.7,12.7,7.2,7.8,23.6,127,26.8,100.2,98.2,Not threatened
Snowornis subalaris,Snowornis subalaris,Passeriformes,LC,No,Volant,81.2,23.2,Forest,Omnivore,Omnivore,-5.73,24.9,12.1,6.6,7,20,129.4,30,99.3,101.1,Not threatened
Somateria fischeri,Somateria fischeri,Anseriformes,NT,No,Volant,1557.2,45,Coastal,Carnivore,Aquatic predator,68.47,46,25.8,18.7,14.5,40.2,246,110.7,135.3,64.2,Not threatened
Somateria mollissima,Somateria mollissima,Anseriformes,NT,No,Volant,2060.9,44.9,Marine,Carnivore,Aquatic predator,64.94,62.1,28,19.1,16.9,47.5,280.2,126.2,154.5,88.1,Not threatened
Somateria spectabilis,Somateria spectabilis,Anseriformes,LC,No,Volant,1616.7,48.9,Marine,Carnivore,Aquatic predator,73.18,33.8,23.6,17.5,14.1,42.8,266.3,130.8,136.7,76.2,Not threatened
Spartonoica maluroides,Spartonoica maluroides,Passeriformes,NT,No,Volant,11,17.6,Wetland,Carnivore,Invertivore,-34.81,13.6,8.5,2.4,3,15.9,49.6,8.8,40.6,68.6,Not threatened
Spatula clypeata,Spatula clypeata,Anseriformes,LC,No,Volant,612.6,58,Wetland,Omnivore,Aquatic predator,55.88,68.8,47.9,18.6,18.7,33.8,226.4,130.2,94.2,75.1,Not threatened
Spatula cyanoptera,Spatula cyanoptera,Anseriformes,LC,No,Volant,377.5,51,Wetland,Herbivore,Herbivore aquatic,11.06,50.5,33.8,16,13.9,30.1,187.5,94.8,90.5,70.4,Not threatened
Spatula discors,Spatula discors,Anseriformes,LC,No,Volant,359.4,53.8,Wetland,Omnivore,Herbivore aquatic,48.81,47.3,31.8,15.6,12.6,29.1,178.3,98.7,84.6,66.7,Not threatened
Spatula hottentota,Spatula hottentota,Anseriformes,LC,No,Volant,276.4,42.4,Wetland,Herbivore,Omnivore,-12.18,36,27.1,12.7,11.1,23.4,147,62.4,84.7,61.8,Not threatened
Spatula platalea,Spatula platalea,Anseriformes,LC,No,Volant,465.4,53.3,Wetland,Herbivore,Herbivore aquatic,-36.18,65.2,44.3,19.4,16.9,31.2,209.8,111.8,98,91.8,Not threatened
Spatula puna,Spatula puna,Anseriformes,LC,No,Volant,595.2,44.1,Wetland,Herbivore,Herbivore aquatic,-17.48,48.3,37.8,15.8,16,29.3,214,94.4,119.6,74.8,Not threatened
Spatula querquedula,Spatula querquedula,Anseriformes,LC,No,Volant,325.6,56.1,Wetland,Omnivore,Herbivore aquatic,53.56,39.2,30,13.8,12.5,26,188.2,105.6,82.2,64.2,Not threatened
Spatula rhynchotis,Spatula rhynchotis,Anseriformes,LC,No,Volant,639,54.8,Wetland,Carnivore,Aquatic predator,-29.63,63.8,45.4,19.4,17.4,30.8,224.2,123,101.2,71,Not threatened
Spatula smithii,Spatula smithii,Anseriformes,LC,No,Volant,591.5,50.5,Wetland,Carnivore,Aquatic predator,-24.84,63.6,43.3,18.9,16.5,34.6,229.2,115.8,113.5,72.5,Not threatened
Spatula versicolor,Spatula versicolor,Anseriformes,LC,No,Volant,595.2,49.9,Wetland,Herbivore,Herbivore aquatic,-36.9,41.2,31.4,15.4,14.3,28.3,185,91.8,92.2,68.6,Not threatened
Speculanas specularis,Speculanas specularis,Anseriformes,NT,No,Volant,1496.1,42.6,Riverine,Herbivore,Herbivore aquatic,-48.53,52.2,37.3,19.3,15.9,44.3,261.8,109.8,148,108.6,Not threatened
Speculipastor bicolor,Speculipastor bicolor,Passeriformes,LC,No,Volant,64.2,25.1,Woodland,Omnivore,Frugivore,4.68,18.7,11.4,4.7,6.5,28.1,114.8,29.1,86.9,83.2,Not threatened
Spelaeornis badeigularis,Spelaeornis badeigularis,Passeriformes,VU,No,Volant,6,6.5,Forest,Carnivore,Invertivore,28.16,10.5,6.3,2.3,3.1,19.2,46.5,3,43.5,30,Threatened
Spelaeornis caudatus,Spelaeornis caudatus,Passeriformes,NT,No,Volant,11,6.3,Forest,Carnivore,Invertivore,27.6,11.3,6.1,2.2,2.9,17.4,47,3,44,29,Not threatened
