species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Coracias benghalensis,Coracias benghalensis,Coraciiformes,LC,No,Volant,157.5,29,Human Modified,Carnivore,Omnivore,23.51,41.4,28.5,10.1,14.2,24.5,180.1,52.1,127.9,121.9,Not threatened
Coracias caudatus,Coracias caudatus,Coraciiformes,LC,No,Volant,110,32.5,Shrubland,Carnivore,Omnivore,-11.6,40.4,25.2,9,12.6,22.5,161.2,52.8,109.2,121.2,Not threatened
Coracias cyanogaster,Coracias cyanogaster,Coraciiformes,LC,No,Volant,142,29.7,Woodland,Carnivore,Invertivore,9.53,39.3,25.6,9.8,14.3,25.4,173.5,51.5,122,97.8,Not threatened
Coracias garrulus,Coracias garrulus,Coraciiformes,LC,No,Volant,146,37.5,Woodland,Carnivore,Invertivore,43.92,40.2,26.9,9.8,12.9,23.7,190.8,72.6,120.7,122.6,Not threatened
Coracias naevius,Coracias naevius,Coraciiformes,LC,No,Volant,168,27.5,Shrubland,Carnivore,Invertivore,-2.73,44,29.1,10.6,14.9,24.6,181.8,50,132,138.8,Not threatened
Coracias spatulatus,Coracias spatulatus,Coraciiformes,LC,No,Volant,90.4,33.2,Woodland,Carnivore,Invertivore,-13.68,36.4,22.9,8.7,12.3,22.1,165.4,55.2,111,131.5,Not threatened
Coracias temminckii,Coracias temminckii,Coraciiformes,LC,Yes,Volant,153.7,24.5,Woodland,Carnivore,Invertivore,-2.11,44.8,30.4,13.2,17.7,23.6,183,44.5,137,134.5,Not threatened
Coracina atriceps,Coracina atriceps,Passeriformes,LC,Yes,Volant,139,28.9,Forest,Carnivore,Invertivore,-1.18,34.7,20.2,12.1,12.4,26,159.7,46,112.9,127.9,Not threatened
Coracina bicolor,Coracina bicolor,Passeriformes,NT,Yes,Volant,101,31.2,Forest,Carnivore,Invertivore,-2.13,32,20.2,12.1,10.9,26.8,169.5,53,116.5,114.9,Not threatened
Coracina boyeri,Coracina boyeri,Passeriformes,LC,No,Volant,66.4,27.4,Forest,Herbivore,Frugivore,-5.36,22.7,12.8,7.7,8,22.3,126.9,34.8,92.1,91,Not threatened
Coracina caeruleogrisea,Coracina caeruleogrisea,Passeriformes,LC,No,Volant,138.2,23,Forest,Carnivore,Invertivore,-5.12,41.6,25.9,15.2,14.7,30.2,164.9,37.7,125.8,138.3,Not threatened
Coracina caledonica,Coracina caledonica,Passeriformes,LC,Yes,Volant,140,26.1,Forest,Carnivore,Invertivore,-19.81,37,21,13.6,14,33.1,185.5,48.3,137.2,145.3,Not threatened
Coracina dobsoni,Coracina dobsoni,Passeriformes,NT,Yes,Volant,111,33.2,Forest,Carnivore,Invertivore,12.3,31.1,20.9,12.2,11.3,25.5,158.9,52.8,106.1,129.7,Not threatened
Coracina fortis,Coracina fortis,Passeriformes,NT,Yes,Volant,138.2,27.2,Forest,Carnivore,Invertivore,-3.42,35.2,25.9,14.8,13.6,29.6,169,46,123,124.5,Not threatened
Coracina javensis,Coracina javensis,Passeriformes,LC,No,Volant,94.5,31.6,Forest,Carnivore,Invertivore,20.34,30.6,17.6,12.7,11.7,26,159.3,49.6,107.3,108.3,Not threatened
