avonet_species_name,species,name_change,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat.x,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,Family,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat.y,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity
Pterodroma externa,Pterodroma externa,0,Procellariiformes,VU,No,Volant,428,70.2,Marine,Carnivore,Aquatic predator,-2.61,37.8,27.4,9.9,11.7,36.1,291.3,203,86,144.3,Procellariidae,VU,1,17.60106152,6.059123196,AquaticAnimals,AerialScreaning,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.514368672,4.169761202
Phoebastria immutabilis,Phoebastria immutabilis,0,Procellariiformes,NT,No,Volant,3145.9,66.2,Marine,Carnivore,Aquatic predator,35.54,108,74.6,20.7,28.2,82.6,474.4,313,159.5,147.2,Diomedeidae,NT,0,17.59954837,8.0538648328938809,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.472870805,4.796616651
Pterodroma solandri,Pterodroma solandri,0,Procellariiformes,VU,No,Volant,468.6,65.1,Marine,Carnivore,Aquatic predator,13.28,33.9,25.9,9.8,12.1,39.1,299,193.2,103.8,124.8,Procellariidae,VU,1,17.57948122,6.149834883,AquaticAnimals,AerialScreaning,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.472870805,4.829912459
Falco tinnunculus,Falco tinnunculus,0,Falconiformes,LC,No,Volant,183.2,51,Shrubland,Carnivore,Vertivore,36.82,20.8,14.1,10.6,11.5,39.1,241,123.2,118.4,154.5,Falconidae,LC,0,17.56771188,5.210633036,Vertebrates,AerialScreaning,Migratory,NonCooperative,Cavity,weak,Terrestrial,No,1.386294361,1.236812781,4.087655574
Asio flammeus,Asio flammeus,0,Strigiformes,LC,No,Volant,322.6,47.5,Grassland,Carnivore,Vertivore,49.62,27.3,13.7,9,13,42.5,297.2,141,156.2,146.5,Strigidae,LC,0,17.50119103,5.776444163,Vertebrates,AerialScreaning,Migratory,NonCooperative,ExposedGround,weak,Terrestrial,No,2.014903021,1.040031433,2.549445171
Motacilla alba,Motacilla alba,0,Passeriformes,LC,No,Volant,23.9,31.4,Human Modified,Carnivore,Invertivore,52.86,16.1,9.7,3.4,3.5,23.4,87,27.4,59.7,86.8,Motacillidae,LC,0,17.49156019,3.175132902,Invertebrates,GroundForaging,Migratory,NonCooperative,Cavity,weak,Terrestrial,No,1.704748092,1.189207115,3.845883203
Aquila chrysaetos,Aquila chrysaetos,0,Accipitriformes,LC,No,Volant,4248,36.7,Grassland,Carnivore,Vertivore,50.67,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,307.1,Accipitridae,LC,0,17.49047301,8.354196501,Vertebrates,AerialScreaning,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,1.046635139,3.194583132
Upupa epops,Upupa epops,0,Bucerotiformes,LC,No,Volant,66.9,21.4,Grassland,Carnivore,Invertivore,29.41,55.8,46.9,5.5,6.3,21.1,142.3,30.5,111.5,96.9,Upupidae,LC,0,17.48440995,4.203647297,Invertebrates,GroundForaging,Migratory,Cooperative,Cavity,weak,Terrestrial,No,1.791759469,1.240758007,4.543294782
Passer montanus,Passer montanus,0,Passeriformes,LC,No,Volant,21.4,24.6,Woodland,Omnivore,Granivore,46.61,13.2,8.2,5.5,6.5,16.4,67.9,16.7,51.2,51,Passeridae,LC,0,17.47850581,3.062923523,Seeds,GroundForaging,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,1.504077397,1.231493032,4.183575696
Egretta garzetta,Egretta garzetta,0,Pelecaniformes,LC,No,Volant,312,33.1,Wetland,Carnivore,Aquatic predator,5.46,94.6,68,8.9,11.3,98.8,252.5,82.8,167.2,94.2,Ardeidae,LC,0,17.47033809,5.743003188,AquaticAnimals,GroundForaging,PartiallyMigratory,NonCooperative,ExposedElevated,none,Wetland,No,1.386294361,1.217883286,4.682131227
Himantopus himantopus,Himantopus himantopus,0,Charadriiformes,LC,No,Volant,176.8,52.2,Wetland,Carnivore,Aquatic predator,16.52,65.7,49.1,4.5,4.7,110.8,223.8,117.2,107.1,74,Recurvirostridae,LC,0,17.46549383,5.175132266,AquaticAnimals,GroundForaging,PartiallyMigratory,NonCooperative,ExposedGround,weak,Wetland,No,1.504077397,1.213710009,4.390738575
Diomedea antipodensis,Diomedea antipodensis,0,Procellariiformes,EN,No,Volant,6961.3,66.7,Marine,Carnivore,Aquatic predator,-47.72,150.6,110.8,34.6,45.1,112.2,628.3,419,209.3,176.4,Diomedeidae,EN,1,17.4407416,8.848120081,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.472870805,4.516338972
Falco peregrinus,Falco peregrinus,0,Falconiformes,LC,No,Volant,760,52.2,Grassland,Carnivore,Vertivore,50.28,31.1,18.4,13.7,15.4,45.1,314.7,165,152.6,143,Falconidae,LC,0,17.41961562,6.633252642,Vertebrates,AerialScreaning,PartiallyMigratory,Cooperative,ExposedElevated,strong,Terrestrial,No,0.916290732,1.099229092,3.36729583
Tachybaptus ruficollis,Tachybaptus ruficollis,0,Podicipediformes,LC,No,Volant,169.4,32.2,Wetland,Carnivore,Aquatic predator,16.91,23.9,11.5,4.4,6.7,35.4,100,31.6,66.6,29.1,Podicipedidae,LC,0,17.41646045,5.132439862,AquaticAnimals,AquaticDive,Sedentary,NonCooperative,ExposedGround,weak,Wetland,No,1.504077397,1.330105485,4.856706812
