order,family,species,IUCN_status,origin,latitude,longitude,elevation,acclimated,life_stage_acclimated,acclimation_temp,acclimation_time,life_stage_tested,metric,endpoint,medium_test_temp,start_temp,ramping,photoperiod,mean_UTL,n_UTL
Anura,Ranidae,Rana chensinensis,LC,wild,36.1,108.9,420,acclimated,larvae,20,14,larvae,CTmax,LRR,water,NA,NA,14,31.6,50
Anura,Ranidae,Rana chensinensis,LC,wild,36.1,108.9,420,acclimated,larvae,25,14,larvae,CTmax,LRR,water,NA,NA,14,33.1,50
Caudata,Hynobiidae,Batrachuperus tibetanus,VU,wild,34.166667,108.166667,1500,acclimated,adults,10,30,adults,CTmax,OS,NA,NA,NA,NA,33.8,9
Caudata,Hynobiidae,Batrachuperus yenyuanensis,EN,wild,28.683333,102.2,1600,acclimated,adults,10,30,adults,CTmax,OS,NA,NA,NA,NA,32.6,9
Caudata,Salamandridae,Paramesotriton labiatus,LC,wild,24.6,111.633333,500,acclimated,adults,10,30,adults,CTmax,OS,NA,NA,NA,NA,34.1,10
Caudata,Salamandridae,Paramesotriton chinensis,LC,wild,24.6,111.633333,500,acclimated,adults,10,30,adults,CTmax,OS,NA,NA,NA,NA,35.7,10
Caudata,Salamandridae,Tylototriton kweichowensis,VU,wild,27.166667,104.033333,2000,acclimated,adults,10,30,adults,CTmax,OS,NA,NA,NA,NA,35.4,6
Anura,Ranidae,Rana clamitans,LC,wild,37.621295,-84.198892,278,acclimated,larvae,25,7,larvae,CTmax,prodding,water,NA,1,12,39.33521445,12
Anura,Ranidae,Rana clamitans,LC,wild,37.621295,-84.198892,278,acclimated,larvae,25,7,larvae,CTmax,prodding,water,NA,1,12,40.03273138,12
Anura,Ranidae,Rana clamitans,LC,wild,37.621295,-84.198892,278,acclimated,larvae,25,7,larvae,CTmax,prodding,water,NA,1,12,40.17945824,12
Anura,Ranidae,Rana clamitans,LC,wild,37.621295,-84.198892,278,acclimated,larvae,25,7,larvae,CTmax,prodding,water,NA,1,12,40.13431151,12
Anura,Ranidae,Rana clamitans,LC,wild,37.621295,-84.198892,278,acclimated,larvae,25,7,larvae,CTmax,prodding,water,NA,1,12,39.7731377,12
Anura,Ranidae,Rana clamitans,LC,wild,37.621295,-84.198892,278,acclimated,larvae,25,7,larvae,CTmax,prodding,water,NA,1,12,39.61512415,12
Anura,Ranidae,Rana clamitans,LC,wild,37.621295,-84.198892,278,acclimated,larvae,10,7,larvae,CTmax,prodding,water,NA,1,12,39,12
Anura,Ranidae,Rana clamitans,LC,wild,37.621295,-84.198892,278,acclimated,larvae,20,7,larvae,CTmax,prodding,water,NA,1,12,39.4,12
Anura,Ranidae,Rana clamitans,LC,wild,37.621295,-84.198892,278,acclimated,larvae,30,7,larvae,CTmax,prodding,water,NA,1,12,40.4,12
Anura,Rhacophoridae,Buergeria japonica,LC,wild,24.868056,121.544167,70,field-fresh,NA,NA,NA,larvae,CTmax,LRR,water,30,0.25,12,43.2,9
Anura,Rhacophoridae,Buergeria japonica,LC,wild,24.062778,120.811111,360,field-fresh,NA,NA,NA,larvae,CTmax,LRR,water,25,0.25,12,42.2,9
Anura,Rhacophoridae,Buergeria japonica,LC,wild,23.434722,120.635556,500,field-fresh,NA,NA,NA,larvae,CTmax,LRR,water,30,0.25,12,41.2,18
Anura,Rhacophoridae,Buergeria japonica,LC,wild,24.026667,121.186667,980,field-fresh,NA,NA,NA,larvae,CTmax,LRR,water,25,0.25,12,43.2,14
Caudata,Plethodontidae,Plethodon cinereus,LC,wild,39.952566,-75.443308,105,acclimated,adults,15,30,adults,CTmax,OS,water,15,1,12,34.3,12
Caudata,Plethodontidae,Plethodon jordani,NT,wild,36.090029,-81.835612,1299,acclimated,adults,15,30,adults,CTmax,OS,water,15,1,12,34.1,11
Anura,Dicroglossidae,Quasipaa spinosa,VU,wild,24.48,112.63,225,acclimated,adults,19,7,adults,CTmax,LRR,body,28,0.5,12,42.1,8
Anura,Dicroglossidae,Quasipaa spinosa,VU,wild,25.82,109.98,478,acclimated,adults,19,7,adults,CTmax,LRR,body,28,0.5,12,43.4,8
Anura,Dicroglossidae,Quasipaa spinosa,VU,wild,26.34,114.1,809,acclimated,adults,19,7,adults,CTmax,LRR,body,28,0.5,12,42.5,7
Anura,Dicroglossidae,Quasipaa spinosa,VU,wild,27.27,118.01,302,acclimated,adults,19,7,adults,CTmax,LRR,body,28,0.5,12,43,10
Anura,Dicroglossidae,Quasipaa spinosa,VU,wild,28.27,119.54,749,acclimated,adults,19,7,adults,CTmax,LRR,body,28,0.5,12,43.7,7
Anura,Dicroglossidae,Quasipaa spinosa,VU,wild,28.72,113.58,132,acclimated,adults,19,7,adults,CTmax,LRR,body,28,0.5,12,41.6,7
